nombre_empresa,rut,confianza_rut,telefono,email,instagram,facebook,tiktok,otras_redes,rubro,comuna,region,direccion,tiene_sitio_web,confianza_overture,fuente
Cerro Pico de Novio,78.308.775-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56991041291,ccardenasmaldo@gmail.com,,https://www.facebook.com/107044532287185,,,,Ancud,,Tehuaco Alto,no,0.868,https://explore.overturemaps.org/#4bde838d-0ce9-48aa-955a-a18674a6861d
Fundo Lechagua,76.978.605-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56992180286,jifogliatti@gmail.com,,https://www.facebook.com/221818387887789,,,real estate service,Ancud,,"Fundo Lechagua km 5, Ancud",no,0.671,https://explore.overturemaps.org/#db4ba098-30b0-4e2f-9b49-21a5a50dfd6c
Imprenta San Carlos,77.041.187-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56982062200,imprentasancarlos@hotmail.com,,https://www.facebook.com/266173160523257,,,,Ancud,,Calle Blanco Encalada 783,no,0.529,https://explore.overturemaps.org/#c4d162ff-a590-459a-810e-ed784fdb75ef
Mundo de Sonrisas,77.960.899-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56945000285,sonrisascf@gmail.com,,https://www.facebook.com/527720893752491,,,pediatric dentistry,Ancud,,Calle Libertad 566,no,0.49,https://explore.overturemaps.org/#f626ff98-c21e-407e-8a91-040f806aa32e
Zarif Joyería,77.936.205-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56977271403,zarifjoyeria.21@gmail.com,,https://www.facebook.com/104648511770222,,,jewelry and watches manufacturer,Ancud,,Ancud,no,0.149,https://explore.overturemaps.org/#1594b041-7aef-468d-839e-85e2d1517c24
Central Car Spa,77.357.666-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56948585127,rccentralcar@gmail.com,,https://www.facebook.com/101476898862642,,,oil change station,Ancud,,Los Cavada 880,no,0.552,https://explore.overturemaps.org/#56f6b77b-a695-41d7-8749-668c6d5a4dda
Ópticas Buena Vista,77.435.036-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56959978696,opticasbuenavistaancud@gmail.com,,https://www.facebook.com/218656167990755,,,eyewear store,Ancud,,Calle Pedro Montt 590,no,0.65,https://explore.overturemaps.org/#ab13793a-bc64-406a-8521-14084e2c489f
Helvete Ancud,78.303.845-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56982171130,helveteancud@gmail.com,,https://www.facebook.com/404841949388021,,,clothing store,Ancud,,Calle Arturo Prat 30,no,0.36,https://explore.overturemaps.org/#fe24866c-31fc-4afe-b8b6-0e0c1f6f16d2
Óptica Crisan,77.700.137-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56951212353,optica.crisan@gmail.com,,https://www.facebook.com/123186700709932,,,eyewear store,Ancud,,Calle Eleuterio Ramírez 352,no,0.842,https://explore.overturemaps.org/#1ea4575a-dfc8-4c3e-aea1-5c3a1db0b9ff
Comercial Mar Brava,77.042.753-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56975117134,comercialmarbrava@gmail.com,,https://www.facebook.com/517458845071088,,,car wash,Ancud,,Avenida Aníbal Pinto 356,no,0.974,https://explore.overturemaps.org/#cf5989b3-027a-40c8-b593-a534255cfac8
