nombre_empresa,rubro,rut,confianza_rut,canal_contacto,telefono,email,instagram,facebook,tiktok,whatsapp,direccion,comuna,region,lat,lon,tiene_sitio_web,fuente
Sherlock,cafe,,,telefono,(65) 248 2888,,https://instagram.com/sherlockrestaurant,https://facebook.com/sherlockpuertomontt,,,Antonio Varas 452,,,-41.4722271,-72.9408882,no,https://www.openstreetmap.org/node/896463552
Escuela Especial Altué de Cerro Navia,school,,,correo,,escuela.altue@gmail.com,https://instagram.com/escuela.altue,,,,Galvarino 1477,Cerro Navia,,-33.4264894,-70.7428252,no,https://www.openstreetmap.org/node/906409976
Cantabria,cafe,,,red social,,,https://instagram.com/cafecantabria,,,,Caupolicán 415,,,-36.827747,-73.0508102,no,https://www.openstreetmap.org/node/1276617396
Café Neruda,pub,,,red social,,,https://instagram.com/cafenerudaoficial,,,,Diagonal Pedro Aguirre Cerda 1134,Concepción,,-36.826336,-73.0429921,no,https://www.openstreetmap.org/node/1300627361
Café Tero,cafe,,,telefono,+56988365045,mapuexplorers@gmail.com,https://instagram.com/cafeterocochrane,,,,Esmeralda 464,Cochrane,,-47.2539434,-72.5718788,no,https://www.openstreetmap.org/node/1347469061
Dunkin' Sopaipilla,bakery,,,telefono,+56 978176304,,https://instagram.com/dunkin_sopaipilla,,,,Esmeralda 301,,,-47.2546762,-72.5726963,no,https://www.openstreetmap.org/node/1568447635
Supermercado Rojita,supermarket,,,red social,,,https://instagram.com/supermercado_rojita,https://facebook.com/profile.php?id=100068478772328&locale=es_LA,,,Teniente Merino 501,,,-47.2532643,-72.5755675,no,https://www.openstreetmap.org/node/1571722174
Almacenes Eca,supermarket,,,telefono,+56 672522227,eca_cochrane@hotmail.com,https://instagram.com/almaceneseca,https://facebook.com/almaceneseca,,,Río Colonia 85,,,-47.2534082,-72.5704573,no,https://www.openstreetmap.org/node/1571724365
Envy Bike,bicycle,,,red social,,,https://instagram.com/envybike.cl,,,,Avenida Condell 996,Providencia,,-33.4440172,-70.6265054,no,https://www.openstreetmap.org/node/1684161543
Sushi Kyodai,fast food,,,telefono,+56 981 740 809,,https://instagram.com/sushikyodai7,,,,Aníbal Pinto 1553,,,-36.8154636,-73.0570252,no,https://www.openstreetmap.org/node/1700360190
Turismo Rural El Encanto - Camping,,,,telefono,+56 9 5604 2531;+56 9 9440 0578,,https://instagram.com/turismo_encanto,https://facebook.com/TurismoEncanto,,,,,,-36.5250925,-72.913105,no,https://www.openstreetmap.org/node/2080745518
Café Nogal,cafe,,,telefono,+56 552 831 135,,https://instagram.com/cafe_nogal.ccp,,,,Barros Arana 1010,Concepción,,-36.8247551,-73.0457902,no,https://www.openstreetmap.org/node/2082280292
Dimarco,ice cream,,,telefono,+56 982 484 845,,https://instagram.com/dimarco_gelatocaffe,,,,Aníbal Pinto 486,Concepción,,-36.826572,-73.0495403,no,https://www.openstreetmap.org/node/2082338998
Camping Las Torres Del Simpson,,,,telefono,+56 9 9493 9945,,https://instagram.com/lastorresdelsimpson,https://facebook.com/Refugiocampingpuertoaysen,,,,,,-45.42434,-72.4417196,no,https://www.openstreetmap.org/node/2655041083
Camping y Refugio Río Ñadis,,,,telefono,+56 981851625,lillischindele@yahoo.de,https://instagram.com/refugiorionadis,https://facebook.com/Refugio-y-Camping-Rio-Ñadis-100085367386220,,,,,,-47.4844741,-72.9420693,no,https://www.openstreetmap.org/node/2711404204
La Cabañita de Felidor,,,,telefono,+56 9 5223 0677,,https://instagram.com/lacabanitadefelidor,,,,,,,-46.285244,-71.9450905,no,https://www.openstreetmap.org/node/2731591083
Cabañas Praga,,,,telefono,+56 9 4128 2049,,https://instagram.com/cabanaspragapv,,,,San Bernardo 202,Puerto Varas,Región de Los Lagos,-41.3159349,-72.9854955,no,https://www.openstreetmap.org/node/2763953580
Papasone,fast food,,,telefono,+56 413 182 181,,https://instagram.com/papasoneconce,,,,Brasil 702,,,-36.8140056,-73.0575961,no,https://www.openstreetmap.org/node/2786978612
